"Site Visit","Kundeneinsatz"
"Site Visits","Kundeneinsätze"
"Site Visit Photo","Kundeneinsatz-Foto"
"Site Visit Report","Einsatzbericht"
"Photo","Foto"
"Caption","Beschriftung"
"Duration","Zeitraum"
"Work Performed","Tätigkeit"
"Photos","Fotos"
"Customer Signature","Kundenunterschrift"
"Signee Name","Name des Unterzeichners"
"Billing","Abrechnung"
"Time","Zeit"
"Customer Confirmation","Kundenbestätigung"
"Signed by","Unterschrieben von"
"No signature captured","Keine Unterschrift erfasst"
"No customer signature captured yet.","Noch keine Kundenunterschrift erfasst."
"Open Timesheet","Zeitblatt öffnen"
"End time must be after the start time.","Das Ende muss nach dem Beginn liegen."
"This time range overlaps an existing time entry for {0}.","Dieser Zeitraum überschneidet sich mit einer bereits erfassten Zeitbuchung für {0}."
"Overlapping Time","Zeitüberschneidung"
"Timesheet {0} created and submitted.","Zeitblatt {0} wurde angelegt und gebucht."
"Timesheet {0} was already invoiced on {1} and can no longer be cancelled.","Zeitblatt {0} wurde bereits in {1} in Rechnung gestellt und kann nicht mehr storniert werden."
"Additional Items","Zusätzliche Artikel"
"New Sales Order","Neuer Auftrag"
"Customer Reference","Kundenreferenz"
"Please select a Customer first.","Bitte zuerst einen Kunden auswählen."
"Add at least one item below before creating a new Sales Order.","Bitte zuerst mindestens einen Artikel hinzufügen, bevor ein neuer Auftrag angelegt wird."
"Add at least one item before creating a new Sales Order.","Bitte mindestens einen Artikel hinzufügen, bevor ein neuer Auftrag angelegt wird."
"Creating Sales Order...","Auftrag wird angelegt..."
"Please select a Customer before submitting.","Bitte vor dem Buchen einen Kunden auswählen."
"Please select an Activity Type before submitting.","Bitte vor dem Buchen eine Aktivitätsart auswählen."
"Please select a Sales Order before submitting.","Bitte vor dem Buchen einen Auftrag auswählen."
"Please enter an end time before submitting.","Bitte vor dem Buchen eine Endzeit eintragen."
"Start Timer","Timer starten"
"Stop Timer","Timer stoppen"
"Timer running: {0}","Timer läuft: {0}"
"Must be set before submitting - not required yet when saving as a draft (e.g. via the timer)","Muss vor dem Buchen gesetzt sein - beim Speichern als Entwurf (z. B. per Timer) noch nicht erforderlich"
"Defaults to the default Company if left empty (see validate() in site_visit.py)","Wird automatisch mit der Standard-Firma vorbelegt, falls leer (siehe validate() in site_visit.py)"
"Must be set before submitting - not required yet when saving as a draft (e.g. via the timer). If there isn't one yet, use ""+ New Sales Order"" right in this field.","Muss vor dem Buchen gesetzt sein - beim Speichern als Entwurf (z. B. per Timer) noch nicht erforderlich. Gibt es noch keinen, über ""+ Neuer Auftrag"" im Feld direkt anlegen."
"Controls the billing rate in the automatically created Timesheet. Must be set before submitting - not required yet when saving as a draft (e.g. via the timer).","Steuert die Abrechnungsart im automatisch erzeugten Zeitblatt. Muss vor dem Buchen gesetzt sein - beim Speichern als Entwurf (z. B. per Timer) noch nicht erforderlich."
"Breaks","Pausen"
"Paused At","Pausiert um"
"Resumed At","Fortgesetzt um"
"Reason","Grund"
"Note","Notiz"
"Break","Pause"
"Other Customer (Emergency)","Anderer Kunde (Notfall)"
"Other","Sonstiges"
"Pause Timer","Timer pausieren"
"Resume Timer","Timer fortsetzen"
"Pause","Pausieren"
"Timer paused ({0}) - worked so far: {1}","Timer pausiert ({0}) - bisher gearbeitet: {1}"
"Please resume the timer before submitting.","Bitte den Timer vor dem Buchen fortsetzen."
"A break must lie within the visit's start and end time.","Eine Pause muss innerhalb von Beginn und Ende des Einsatzes liegen."
"A break's end time must be after its start time.","Das Ende einer Pause muss nach ihrem Beginn liegen."
"Breaks must not overlap each other.","Pausen duerfen sich nicht ueberschneiden."
"Empty while the pause is still ongoing - set by ""Resume Timer"".","Waehrend die Pause noch laeuft leer - wird durch ""Timer fortsetzen"" gesetzt."
"Pauses during the visit (break, or an emergency at another customer) - excluded from the billed working time. Filled via ""Pause Timer""/""Resume Timer"", not required.","Pausen waehrend des Einsatzes (Pause oder Notfall bei einem anderen Kunden) - werden nicht als Arbeitszeit abgerechnet. Wird ueber ""Timer pausieren""/""Timer fortsetzen"" befuellt, nicht Pflicht."
"Not required - if empty, the automatically created Timesheet is created without an Employee (ERPNext's own Timesheet doctype does not require one either).","Nicht Pflicht - bleibt es leer, wird das automatisch erzeugte Zeitblatt ohne Mitarbeiter angelegt (auch ERPNexts eigene Zeitblatt-Doctype verlangt keinen)."
